qw,qx,qy,qz
0.07568301,-0.04354849,-0.9743556,-0.2073806
0.07678398,-0.03660421,-0.9755956,-0.2024294
0.07796653,-0.03154236,-0.975828,-0.2017078
0.08216856,-0.02940577,-0.9754531,-0.2021752
0.08216856,-0.02940577,-0.9754531,-0.2021752
0.08799881,-0.02671723,-0.9752803,-0.2009247
0.09326331,-0.02481122,-0.9752994,-0.1986895
0.09692813,-0.02520804,-0.9756095,-0.1953346
0.09692813,-0.02520804,-0.9756095,-0.1953346
0.09950422,-0.02671556,-0.9760687,-0.1915073
0.1010493,-0.02800017,-0.9767163,-0.1871641
0.1010093,-0.02674454,-0.977493,-0.1832739
0.1010093,-0.02674454,-0.977493,-0.1832739
0.09986553,-0.02328409,-0.9783915,-0.1795408
