TimeStamp, LeftEye X,LeftEye Y,RightEye X,RightEye Y,Eye X,Eye Y,x,y,z,qx,qy,qz,qw,pitch,yaw,roll
2019-07-24 17:48:44.482,1.177042,0.9180131,0.5366508,0.4820198,0.8568463,0.7000164,-0.3902854,1.549995,-0.296762,-0.06465258,0.9929103,-0.06030472,0.07945231,6.285384,170.4111,352.0213
2019-07-24 17:48:44.500,1.177042,0.9180131,0.5366508,0.4820198,0.8568463,0.7000164,-0.3902854,1.549995,-0.296762,-0.06465258,0.9929103,-0.06030472,0.07945231,6.285384,170.4111,352.0213
2019-07-24 17:48:44.514,1.177042,0.9180131,0.5410402,0.4777993,0.859041,0.6979062,-0.3901764,1.549985,-0.2968214,-0.06451067,0.9929301,-0.06017237,0.07942022,6.27191,170.4169,352.0392
2019-07-24 17:48:44.533,1.177042,0.9180131,0.5435541,0.4709204,0.860298,0.6944667,-0.389998,1.549978,-0.2972903,-0.06422987,0.9929428,-0.06025033,0.07942942,6.283426,170.4169,352.0706
2019-07-24 17:48:44.549,1.177042,0.9180131,0.5435541,0.4709204,0.860298,0.6944667,-0.3897978,1.549942,-0.2976985,-0.06400885,0.9929379,-0.06050527,0.07947612,6.314254,170.4106,352.093
2019-07-24 17:48:44.566,1.177042,0.9180131,0.5435541,0.4709204,0.860298,0.6944667,-0.3897978,1.549942,-0.2976985,-0.06400885,0.9929379,-0.06050527,0.07947612,6.314254,170.4106,352.093
2019-07-24 17:48:44.581,0.8042274,0.9284997,0.5435541,0.4709204,0.6738907,0.69971,-0.3897483,1.549757,-0.2979517,-0.06387918,0.9929014,-0.06100085,0.07965581,6.3706,170.3863,352.1015
2019-07-24 17:48:44.599,0.8042274,0.9284997,-0.3251275,1.217411,0.2395499,1.072955,-0.3894548,1.549592,-0.2984796,-0.06375822,0.9928848,-0.06136107,0.07968424,6.412625,170.3805,352.1114
2019-07-24 17:48:44.615,0.8042274,0.9284997,-0.3251275,1.217411,0.2395499,1.072955,-0.3894148,1.549478,-0.2989397,-0.06361023,0.9928914,-0.06146964,0.07963663,6.426811,170.3859,352.1276
2019-07-24 17:48:44.632,0.8042274,0.9284997,-0.3251275,1.217411,0.2395499,1.072955,-0.3894148,1.549478,-0.2989397,-0.06361023,0.9928914,-0.06146964,0.07963663,6.426811,170.3859,352.1276
2019-07-24 17:48:44.648,0.8042274,0.9284997,-0.3251275,1.217411,0.2395499,1.072955,-0.3893621,1.549488,-0.2993832,-0.06343688,0.9928966,-0.06174321,0.07949749,6.460782,170.4006,352.1455
2019-07-24 17:48:44.667,0.8042274,0.9284997,-0.3251275,1.217411,0.2395499,1.072955,-0.3893033,1.54943,-0.2997384,-0.06340481,0.9929063,-0.06218821,0.07905342,6.515351,170.448,352.1474
2019-07-24 17:48:44.682,0.8042274,0.9284997,-0.3251275,1.217411,0.2395499,1.072955,-0.3892771,1.549325,-0.3001719,-0.06314683,0.9929356,-0.06258316,0.07857973,6.566596,170.5007,352.176
2019-07-24 17:48:44.699,0.8042274,0.9284997,-0.3251275,1.217411,0.2395499,1.072955,-0.3892771,1.549325,-0.3001719,-0.06314683,0.9929356,-0.06258316,0.07857973,6.566596,170.5007,352.176
2019-07-24 17:48:44.715,0.8042274,0.9284997,-0.3251275,1.217411,0.2395499,1.072955,-0.3892663,1.5493,-0.3007162,-0.06308958,0.9929479,-0.06295149,0.07817563,6.612332,170.5443,352.1814
2019-07-24 17:48:44.733,0.8042274,0.9284997,-0.3251275,1.217411,0.2395499,1.072955,-0.3892611,1.549328,-0.301198,-0.06315071,0.9929717,-0.06299432,0.07778791,6.619685,170.5882,352.1765
2019-07-24 17:48:44.749,0.8042274,0.9284997,6.75693,0.6088173,3.780579,0.7686585,-0.3892851,1.549315,-0.3014708,-0.06340845,0.9929919,-0.06288718,0.07740683,6.608034,170.6314,352.1505
2019-07-24 17:48:44.766,0.8042274,0.9284997,6.75693,0.6088173,3.780579,0.7686585,-0.3892851,1.549315,-0.3014708,-0.06340845,0.9929919,-0.06288718,0.07740683,6.608034,170.6314,352.1505
